feedstock,feedstock_cost_per_g,gold_revenue_per_g,yield_g_au_per_g_feed,mass_produced_g,feedstock_mass_g,conversion_efficiency,gross_revenue,feed_cost,energy_cost,overhead_cost,total_cost,profit,roi_percent,lv_enhancement
Pb-208-GDR-48h,0.0001,108.36,0.05185403123799427,0.05185403123799427,1.0,5.47494339974762,5.61890282494906,0.0001,0.0,0.0048000000000000004,0.004900000000000001,5.6140028249490594,114571.48622345016,456.116137992934
Hg-202-GDR-24h,0.06,108.36,0.0009332652648891836,0.0009332652648891836,1.0,0.09569522005462694,0.10112862410339193,0.06,0.0,0.024,0.08399999999999999,0.017128624103391943,20.391219170704698,211.40785318527725
Pt-195-GDR,41.64,108.36,1.2513386016830018e-06,1.2513386016830018e-06,1.0,0.00012386346564882504,0.00013559505087837009,41.64,0.0,0.01,41.65,-41.64986440494912,-99.99967444165455,81.9226386510468
Hg-202,0.06,108.36,5.513843109074138e-07,5.513843109074138e-07,1.0,5.653788365649623e-05,5.974800392992736e-05,0.06,0.33333333333333337,33.333333333333336,33.72666666666667,-33.72660691866274,-99.99982284640069,1.0000000000009535
Pt-197,41.64,108.36,7.133350569195982e-07,7.133350569195982e-07,1.0,7.133350569195983e-05,7.729698676780766e-05,41.64,0.33333333333333337,33.333333333333336,75.30666666666667,-75.3065893696799,-99.99989735704659,1.0000000000009535
Pb-208,0.002,108.36,1.4475494393713105e-07,1.4475494393713105e-07,1.0,1.52837707304179e-05,1.5685645725027522e-05,0.002,0.33333333333333337,33.333333333333336,33.66866666666667,-33.66865098102094,-99.9999534117407,1.0000000000009535
Fe-56,0.00011999999999999999,108.36,5.492477850119649e-15,5.492477850119649e-15,1.0,1.5613135005416262e-13,5.951648998389652e-13,0.00012,0.33333333333333337,33.333333333333336,33.66678666666667,-33.66678666666607,-99.99999999999822,1.0000000000009535
